epoch,train_mae,val_mae,best_val_mae
1,0.349011,0.316965,0.316965
2,0.309340,0.315822,0.315822
3,0.308354,0.314494,0.314494
4,0.308666,0.313529,0.313529
5,0.307371,0.314487,0.313529
6,0.306992,0.313076,0.313076
7,0.306935,0.312320,0.312320
8,0.306036,0.312904,0.312320
9,0.305640,0.311839,0.311839
10,0.305262,0.311379,0.311379
11,0.305081,0.311347,0.311347
12,0.304434,0.311598,0.311347
13,0.304298,0.311166,0.311166
14,0.303910,0.310082,0.310082
15,0.303507,0.310455,0.310082
16,0.303243,0.309285,0.309285
17,0.302821,0.309052,0.309052
18,0.302319,0.308654,0.308654
19,0.302044,0.308498,0.308498
20,0.301510,0.308463,0.308463
